article,section,claim_summary,classification,source,source_type,review_requirement,proposed_action
"/mpu-ablauf/","Introduction","Different participants have distinct roles and the page is not a personal schedule","SUPPORTED_BUT_REVIEW_REQUIRED","FeV §11; Anlage 4a","LEVEL 1","MPU_FACHREVIEW; EDITORIAL_REVIEW","Retain; fachlich confirm scope language"
"/mpu-ablauf/","Important","Applicable deadlines are stated in the authority letter","LEGAL_INTERPRETATION","FeV §11(6)","LEVEL 1","LEGAL_REVIEW","Legal reviewer confirm wording and exceptions"
"/mpu-ablauf/","Authority role","The authority defines the fitness question to be answered","SUPPORTED_BUT_REVIEW_REQUIRED","FeV §11(6)","LEVEL 1","MPU_FACHREVIEW; LEGAL_REVIEW","Retain after dual review"
"/mpu-ablauf/","Authority role","The question limits the investigation's technical frame","SUPPORTED_BUT_REVIEW_REQUIRED","FeV Anlage 4a no. 1(a)","LEVEL 1","MPU_FACHREVIEW","Fachlich confirm formulation"
"/mpu-ablauf/","Beauftragung","The person tells the authority which eligible assessment center was commissioned","SUPPORTED_BUT_REVIEW_REQUIRED","FeV §11(6)","LEVEL 1","LEGAL_REVIEW","Retain after legal review"
"/mpu-ablauf/","Beauftragung","The authority sends usable documents and its question to the commissioned center","LEGAL_INTERPRETATION","FeV §11(6)","LEVEL 1","LEGAL_REVIEW","Confirm meaning of complete/usable records and avoid case advice"
"/mpu-ablauf/","Investigation","Medical psychological and performance-related components may be relevant depending on the question","SUPPORTED_BUT_REVIEW_REQUIRED","FeV Anlage 4a; Beurteilungskriterien foundations","LEVEL 1 + LEVEL 3","MPU_FACHREVIEW","Fachlich verify component description"
"/mpu-ablauf/","Investigation","The investigation is occasion-specific and uses recognized scientific principles","SUPPORTED","FeV Anlage 4a no. 1(a),(c)","LEVEL 1","SOURCE_VERIFICATION","Retain; recheck law at approval"
"/mpu-ablauf/","Report","The report answers the authority's question","SUPPORTED","FeV Anlage 4a no. 2(b)","LEVEL 1","SOURCE_VERIFICATION","Retain"
"/mpu-ablauf/","Report","Individual consequences and response to a result are legally and professionally sensitive","EDITORIAL_ONLY","Scope limitation","EDITORIAL","EDITORIAL_REVIEW","Retain as limitation; do not add case outcome advice"
"/mpu-ablauf/","FAQ duration","No universal total duration can be promised because multiple procedural variables differ","SUPPORTED_BUT_REVIEW_REQUIRED","FeV §11(6); operational variability","LEVEL 1 + editorial inference","MPU_FACHREVIEW; LEGAL_REVIEW","Confirm cautious non-duration statement"
"/mpu-ablauf/","FAQ components","The investigation is occasion-specific and concrete relevance depends on the authority question","SUPPORTED","FeV Anlage 4a no. 1(a)","LEVEL 1","SOURCE_VERIFICATION","Retain"
