question,category,owner_domain,review_requirement,source_status,publication_status
"Wie lange dauert der gesamte MPU-Ablauf?","HIGH-RISK; ARTICLE-SPECIFIC","mpu-deincoach.de","MPU_FACHREVIEW; LEGAL_REVIEW","EXPERT_APPROVED_AFTER_CORRECTION: FeV §11 plus qualified operational factors","PUBLIC_APPROVED"
"Besteht jede MPU aus denselben Teilen?","KNOWLEDGE; ARTICLE-SPECIFIC","mpu-deincoach.de","MPU_FACHREVIEW","EXPERT_APPROVED_AFTER_CORRECTION: FeV Anlage 4a","PUBLIC_APPROVED"
"Gibt es einen einheitlichen Preis für jede MPU?","HIGH-RISK; ARTICLE-SPECIFIC","mpu-deincoach.de","MPU_FACHREVIEW; SOURCE_VERIFICATION","SOURCE_MISSING for comprehensive current pricing","NOINDEX_REVIEW_REQUIRED"
"Warum werden Kostenpositionen getrennt ausgewiesen?","KNOWLEDGE; ARTICLE-SPECIFIC","mpu-deincoach.de","EDITORIAL_REVIEW; LEGAL_REVIEW","PARTIAL: FeV plus editorial currency policy","NOINDEX_REVIEW_REQUIRED"
"Braucht jede Alkohol-MPU einen Abstinenznachweis?","HIGH-RISK; ARTICLE-SPECIFIC","mpu-deincoach.de","ALCOHOL_MPU_FACHREVIEW","SUPPORTED_BUT_REVIEW_REQUIRED: FeV Anlage 4a; alcohol criteria","NOINDEX_REVIEW_REQUIRED"
"Reicht es, seit dem Vorfall weniger zu trinken?","HIGH-RISK; ARTICLE-SPECIFIC","mpu-deincoach.de","ALCOHOL_MPU_FACHREVIEW","SUPPORTED_BUT_REVIEW_REQUIRED: alcohol criteria","NOINDEX_REVIEW_REQUIRED"
"Sind alle Drogen-MPUs gleich aufgebaut?","KNOWLEDGE; ARTICLE-SPECIFIC","mpu-deincoach.de","DRUG_MPU_FACHREVIEW","SUPPORTED: FeV Anlage 4a","NOINDEX_REVIEW_REQUIRED"
"Beweist ein negativer Schnelltest ausreichende Abstinenz?","HIGH-RISK; ARTICLE-SPECIFIC","mpu-deincoach.de","CTU_FACHREVIEW","SUPPORTED_BUT_REVIEW_REQUIRED: FeV Anlage 4a; CTU criteria","NOINDEX_REVIEW_REQUIRED"
"Kann ich einen Abstinenznachweis selbst mit Schnelltests führen?","HIGH-RISK; ARTICLE-SPECIFIC","mpu-deincoach.de","CTU_FACHREVIEW","SUPPORTED_BUT_REVIEW_REQUIRED: FeV Anlage 4a","NOINDEX_REVIEW_REQUIRED"
"Warum sind Haar- und Urinbefunde nicht pauschal austauschbar?","HIGH-RISK; ARTICLE-SPECIFIC","mpu-deincoach.de","CTU_FACHREVIEW","SUPPORTED_BUT_REVIEW_REQUIRED: CTU criteria","NOINDEX_REVIEW_REQUIRED"
"Muss eine MPU-Stelle amtlich anerkannt sein?","LEGAL; ARTICLE-SPECIFIC","mpu-deincoach.de","LEGAL_REVIEW; MPU_FACHREVIEW","EXPERT_APPROVED_AFTER_CORRECTION: FeV §11 and §66","PUBLIC_APPROVED"
"Sendet die Führerscheinstelle die Akte direkt an mich?","LEGAL; HIGH-RISK; ARTICLE-SPECIFIC","mpu-deincoach.de","LEGAL_REVIEW","EXPERT_APPROVED_AFTER_CORRECTION: FeV §11(6)","PUBLIC_APPROVED"
"Ist die nächstgelegene Stelle immer die beste Wahl?","KNOWLEDGE; ARTICLE-SPECIFIC","mpu-deincoach.de","EDITORIAL_REVIEW","EXPERT_APPROVED_AFTER_CORRECTION: neutral operational criteria","PUBLIC_APPROVED"
"Kann eine Begutachtungsstelle gleichzeitig meine Vorbereitung verkaufen?","LEGAL; HIGH-RISK; ARTICLE-SPECIFIC","mpu-deincoach.de","LEGAL_REVIEW; MPU_FACHREVIEW","EXPERT_APPROVED_AFTER_CORRECTION: FeV Anlage 4a and Anlage 14","PUBLIC_APPROVED"
